Year,State,Value
2014,Kelantan,1399
2014,Melaka,845
2014,Negeri Sembilan,951
2014,Pahang,1903
2014,Perak,2716
2014,Perlis,499
2014,Pulau Pinang,2780
2014,Sabah,940
2014,Sarawak,854
2014,Selangor,2051
2014,Terengganu,579
2014,W.P. Kuala Lumpur,1698
2014,W.P. Labuan,19
2014,W.P. Putrajaya,16
2015,Johor,2541
2015,Kedah,2945
2015,Kelantan,1994
2015,Melaka,944
2015,Negeri Sembilan,1050
2015,Pahang,2066
2015,Perak,3106
2015,Perlis,781
2015,Pulau Pinang,4280
2015,Sabah,898
2015,Sarawak,658
2015,Selangor,2987
2015,Terengganu,1022
2015,W.P. Kuala Lumpur,1328
2015,W.P. Labuan,36
2015,W.P. Putrajaya,32
2016,Johor,2565
2016,Kedah,3862
2016,Kelantan,3233
2016,Melaka,930
2016,Negeri Sembilan,1172
2016,Pahang,2419
2016,Perak,2639
2016,Perlis,692
2016,Pulau Pinang,5081
2016,Sabah,1044
2016,Sarawak,534
2016,Selangor,3176
2016,Terengganu,1676
2016,W.P. Kuala Lumpur,1695
2016,W.P. Labuan,79
2016,W.P. Putrajaya,47
2017,Johor,2108
2017,Kedah,2655
2017,Kelantan,3700
2017,Melaka,613
2017,Negeri Sembilan,1012
2017,Pahang,2088
2017,Perak,1557
2017,Perlis,654
2017,Pulau Pinang,3844
2017,Sabah,1047
2017,Sarawak,440
2017,Selangor,2375
2017,Terengganu,2044
2017,W.P. Kuala Lumpur,1655
2017,W.P. Labuan,92
2017,W.P. Putrajaya,38
2018,Johor,2352
2018,Kedah,2693
2018,Kelantan,4153
2018,Melaka,736
2018,Negeri Sembilan,1374
2018,Pahang,1749
2018,Perak,1820
2018,Perlis,582
2018,Pulau Pinang,2303
2018,Sabah,1200
2018,Sarawak,693
2018,Selangor,2228
2018,Terengganu,2057
2018,W.P. Kuala Lumpur,1223
2018,W.P. Labuan,72
2018,W.P. Putrajaya,32
2019,Johor,2371
2019,Kedah,3582
2019,Kelantan,2998
2019,Melaka,819
2019,Negeri Sembilan,1244
2019,Pahang,1672
2019,Perak,2046
2019,Perlis,316
2019,Pulau Pinang,2893
2019,Sabah,1574
2019,Sarawak,852
2019,Selangor,2385
2019,Terengganu,2123
2019,W.P. Kuala Lumpur,1023
2019,W.P. Labuan,139
2019,W.P. Putrajaya,43
2020,Johor,2564
2020,Kedah,2372
2020,Kelantan,2271
2020,Melaka,829
2020,Negeri Sembilan,812
2020,Pahang,1395
2020,Perak,1821
2020,Perlis,281
2020,Pulau Pinang,1727
2020,Sabah,834
2020,Sarawak,634
2020,Selangor,1712
2020,Terengganu,2240
2020,W.P. Kuala Lumpur,1024
2020,W.P. Labuan,90
2020,W.P. Putrajaya,37
2021,Johor,2081
2021,Kedah,2196
2021,Kelantan,2167
2021,Melaka,539
2021,Negeri Sembilan,709
